Region;2013;2014;2015;2016;2017;2018;2019;2020;2021;2022;2023
0114 Upplands Väsby;434;200;617;1021;448;745;1004;177;326;1195;674
0115 Vallentuna;199;171;247;209;243;152;531;-69;-2;500;140
0117 Österåker;103;527;838;1017;687;575;602;988;1381;808;11
0120 Värmdö;180;592;389;679;1254;803;420;370;440;74;50
0123 Järfälla;606;1178;1314;1550;1681;1600;1017;937;1262;1801;496
0125 Ekerö;45;239;157;328;264;467;258;101;109;-45;-298
0126 Huddinge;753;874;423;1521;1796;1026;395;-263;-64;-64;-1007
0127 Botkyrka;542;581;-150;626;578;622;773;-343;-172;-521;-228
0128 Salem;34;74;223;116;15;31;-104;172;233;35;57
0136 Haninge;965;949;976;1299;1845;1310;1428;1026;1251;1467;1542
0138 Tyresö;309;898;652;724;51;517;172;227;165;111;-132
0139 Upplands-Bro;184;445;307;785;710;906;387;665;621;589;395
0140 Nykvarn;43;263;340;181;189;203;43;180;204;118;399
0160 Täby;726;900;787;961;911;891;342;794;1072;1126;1536
0162 Danderyd;286;63;168;280;277;359;-305;-80;44;-94;-264
0163 Sollentuna;912;822;599;500;595;469;1002;3;669;819;315
0180 Stockholm;8764;6644;4207;4934;7090;5788;4870;-4618;-4966;-379;-1560
0181 Södertälje;1117;703;496;1037;899;915;1093;751;475;708;-328
0182 Nacka;949;1205;1191;862;1324;1964;926;845;1032;753;729
0183 Sundbyberg;1402;1036;1552;1164;1146;658;1318;-126;5;22;1318
0184 Solna;853;674;1441;1175;883;586;728;90;202;559;-709
0186 Lidingö;689;290;764;511;269;637;283;-44;59;223;-89
0187 Vaxholm;49;102;38;208;189;176;-26;-117;120;-115;-58
0188 Norrtälje;348;777;1223;941;1510;1091;963;1269;1248;970;461
0191 Sigtuna;745;399;398;1109;595;615;491;378;310;1280;379
0192 Nynäshamn;210;237;418;202;345;149;272;209;609;539;244
0305 Håbo;12;-19;167;349;295;397;302;30;248;364;169
0319 Älvkarleby;97;52;154;155;-53;11;76;70;110;26;-27
0330 Knivsta;200;411;638;279;583;501;-29;154;563;182;475
0331 Heby;93;59;116;174;129;54;164;108;212;145;-61
0360 Tierp;21;145;256;197;178;210;-29;208;183;-62;-144
0380 Uppsala;1469;1004;1557;3230;4260;4090;4401;2064;2351;3541;2232
0381 Enköping;255;430;722;997;689;574;678;852;1121;299;424
0382 Östhammar;120;76;180;288;131;159;179;87;184;49;-48
0428 Vingåker;64;64;60;171;98;-41;18;53;-46;-59;-77
0461 Gnesta;-18;112;128;178;157;184;121;82;90;100;-53
0480 Nyköping;657;453;701;609;520;510;536;540;545;401;316
0481 Oxelösund;220;175;155;232;66;100;-65;69;166;-5;82
0482 Flen;176;104;259;403;0;-105;-81;-92;-88;-194;-302
0483 Katrineholm;349;303;181;248;312;401;112;61;38;-109;-166
0484 Eskilstuna;687;902;875;1314;763;963;673;13;430;160;-338
0486 Strängnäs;304;422;221;509;397;708;792;754;784;410;408
0488 Trosa;145;161;192;398;446;384;430;546;309;134;136
0509 Ödeshög;-10;78;6;93;10;-19;22;-1;-13;10;-17
0512 Ydre;17;39;10;9;73;31;11;-17;-33;5;-27
0513 Kinda;92;-2;28;58;37;62;24;69;93;31;-33
0560 Boxholm;71;27;-2;25;73;9;41;-19;70;6;46
0561 Åtvidaberg;47;64;73;79;30;-100;14;-30;41;81;-28
0562 Finspång;188;252;75;363;79;211;160;-108;153;77;-153
0563 Valdemarsvik;27;103;109;92;113;70;-41;-95;-39;17;-32
0580 Linköping;1052;1032;442;2187;2162;1957;1322;1106;220;699;412
0581 Norrköping;1187;1136;1271;1863;1194;459;1058;116;583;476;-53
0582 Söderköping;48;65;-15;174;127;76;11;55;64;196;66
0583 Motala;362;375;300;343;249;157;-19;-19;58;98;51
0584 Vadstena;71;40;77;13;125;139;-30;37;146;30;-6
0586 Mjölby;102;88;133;138;318;337;379;180;236;121;115
0604 Aneby;-43;61;99;47;140;48;-19;-15;58;-74;20
0617 Gnosjö;56;68;-39;73;83;5;-87;-92;-62;-122;-175
0642 Mullsjö;-45;73;42;38;109;-14;-41;82;60;107;30
0643 Habo;33;46;126;175;178;211;195;54;146;257;91
0662 Gislaved;-62;-28;493;144;97;221;50;-295;-151;-89;-418
0665 Vaggeryd;37;-2;124;216;172;89;257;201;145;63;-53
0680 Jönköping;849;832;700;1362;1749;1298;1242;879;600;1095;698
0682 Nässjö;121;353;492;340;263;207;-25;-19;190;126;-233
0683 Värnamo;91;154;130;424;305;176;101;-5;101;-8;-94
0684 Sävsjö;134;136;120;135;84;94;33;24;-14;49;-98
0685 Vetlanda;113;239;199;343;168;52;-56;67;111;120;-106
0686 Eksjö;115;161;194;377;319;262;46;53;49;46;-66
0687 Tranås;104;225;145;246;116;110;25;-98;-35;-59;18
0760 Uppvidinge;30;-60;101;182;78;57;9;-53;-65;-41;-143
0761 Lessebo;45;217;267;198;36;-17;-64;-92;-94;-106;-118
0763 Tingsryd;96;80;136;185;116;-9;58;64;-20;39;-79
0764 Alvesta;232;158;42;203;102;111;-52;65;30;-67;-195
0765 Älmhult;8;89;251;432;536;390;8;200;17;93;-209
0767 Markaryd;73;58;244;218;189;104;50;70;-54;-114;-49
0780 Växjö;642;731;745;914;1242;1135;1143;308;643;760;66
0781 Ljungby;-124;258;137;365;263;253;-94;-93;38;87;-117
0821 Högsby;19;92;117;251;40;32;-139;-162;-67;-60;-118
0834 Torsås;56;63;63;169;52;59;51;46;-17;-40;-13
0840 Mörbylånga;98;125;172;256;105;67;196;262;241;291;201
0860 Hultsfred;135;184;214;722;-50;-196;-117;-93;6;55;-125
0861 Mönsterås;202;139;105;292;117;77;-95;-125;-23;37;-67
0862 Emmaboda;-20;108;79;301;78;48;84;-48;6;47;-225
0880 Kalmar;105;587;843;693;710;938;709;681;644;527;227
0881 Nybro;88;258;90;599;63;-44;2;-23;47;59;-56
0882 Oskarshamn;55;101;187;557;-82;19;118;49;110;-100;-84
0883 Västervik;124;176;230;516;201;172;114;112;164;94;-30
0884 Vimmerby;-94;7;170;210;138;41;-122;18;-78;10;-43
0885 Borgholm;-78;134;61;335;18;83;59;91;116;66;0
0980 Gotland;54;118;269;744;661;757;545;604;901;291;34
1060 Olofström;51;170;186;301;117;68;-61;-71;4;-18;-6
1080 Karlskrona;190;341;998;759;390;-65;-60;-79;194;7;-159
1081 Ronneby;98;347;487;569;348;133;-86;-196;-167;13;-33
1082 Karlshamn;189;375;297;364;147;210;198;15;-98;117;-128
1083 Sölvesborg;46;202;212;325;82;69;42;52;137;44;45
1214 Svalöv;52;91;190;203;87;74;108;-25;60;-25;49
1230 Staffanstorp;30;177;40;384;461;414;569;397;261;513;311
1231 Burlöv;68;40;156;164;360;250;650;127;351;67;-92
1233 Vellinge;153;272;533;505;547;705;85;295;511;313;-30
1256 Östra Göinge;82;177;256;318;286;132;38;-2;-122;-310;-211
1257 Örkelljunga;8;92;112;144;110;168;97;189;63;-9;0
1260 Bjuv;-80;73;52;219;215;31;166;-27;120;194;-68
1261 Kävlinge;50;53;214;297;341;438;98;217;223;37;-55
1262 Lomma;142;382;313;501;364;478;48;29;-220;106;-56
1263 Svedala;-9;103;118;261;276;395;548;380;452;-33;141
1264 Skurup;61;113;-5;247;208;99;130;90;355;282;108
1265 Sjöbo;114;30;102;207;354;84;84;197;103;86;-55
1266 Hörby;-43;-1;113;235;227;65;-8;38;56;0;-111
1267 Höör;56;130;142;187;249;143;67;75;82;342;70
1270 Tomelilla;-4;127;118;220;95;167;84;47;64;128;-124
1272 Bromölla;93;90;118;114;84;219;18;-81;-99;19;-86
1273 Osby;89;139;136;223;21;125;-76;25;62;11;-89
1275 Perstorp;39;36;28;121;-15;127;4;-18;76;-99;-104
1276 Klippan;97;2;205;308;265;142;118;13;48;100;-115
1277 Åstorp;64;94;78;284;260;92;-89;94;172;-16;76
1278 Båstad;65;202;57;323;235;227;241;308;240;242;138
1280 Malmö;2759;2541;1911;3502;2743;3317;2312;1449;982;3042;2668
1281 Lund;896;1187;390;1208;2390;1238;1621;652;995;839;1764
1282 Landskrona;421;426;266;580;491;402;152;100;31;535;97
1283 Helsingborg;657;1923;2119;2261;2298;1760;1775;1153;216;456;36
1284 Höganäs;290;240;334;262;433;440;399;260;489;550;183
1285 Eslöv;109;194;155;334;308;219;146;263;329;22;29
1286 Ystad;194;249;305;541;461;469;430;500;673;322;344
1287 Trelleborg;202;138;420;529;647;278;532;394;255;381;380
1290 Kristianstad;392;704;484;530;831;654;689;400;228;109;-178
1291 Simrishamn;115;77;287;599;26;42;5;224;167;-5;44
1292 Ängelholm;185;364;534;594;436;353;317;496;762;646;628
1293 Hässleholm;113;304;419;580;333;152;42;-101;255;150;-59
1315 Hylte;-12;259;217;399;-20;-99;-125;-177;-32;-133;-116
1380 Halmstad;709;1235;1176;1366;973;1272;1159;791;581;510;581
