Region;2013;2014;2015;2016;2017;2018;2019;2020;2021;2022;2023
0114 Upplands Väsby;41449;41816;42661;43891;44605;45543;46786;47184;47820;49262;50110
0115 Vallentuna;31616;31969;32380;32785;33175;33432;34090;34119;34246;34851;35076
0117 Österåker;40495;41180;42130;43293;44130;44831;45574;46644;48234;49138;49282
0120 Värmdö;39784;40541;41107;42000;43444;44397;45000;45566;46232;46457;46637
0123 Järfälla;69167;70701;72429;74412;76453;78480;79990;81274;83170;85460;86330
0125 Ekerö;26355;26698;26984;27406;27753;28308;28690;28879;29096;29123;28808
0126 Huddinge;102557;104185;105311;107538;110003;111722;112848;113234;113951;114504;113920
0127 Botkyrka;87580;88901;89425;90675;91925;93106;94606;94847;95318;95383;95592
0128 Salem;16001;16140;16426;16615;16665;16786;16750;16959;17252;17352;17451
0136 Haninge;80932;82407;83866;85693;88037;89989;92095;93690;95658;97683;99751
0138 Tyresö;44281;45390;46177;47103;47304;48004;48333;48678;49062;49214;49173
0139 Upplands-Bro;24703;25287;25789;26755;27614;28756;29346;30195;31082;31853;32453
0140 Nykvarn;9523;9815;10192;10424;10660;10923;11014;11222;11500;11664;12107
0160 Täby;66292;67334;68281;69386;70405;71397;71874;72755;73955;75137;76738
0162 Danderyd;32222;32295;32421;32653;32888;33187;32857;32712;32803;32692;32419
0163 Sollentuna;68145;69325;70251;71023;71848;72528;73857;73990;75108;76237;76790
0180 Stockholm;897700;911989;923516;935619;949761;962154;974073;975551;978770;984748;988943
0181 Södertälje;91072;92235;93202;94631;96032;97381;98979;100111;101209;102426;102519
0182 Nacka;94423;96217;97986;99359;101231;103656;105189;106505;108234;109486;110633
0183 Sundbyberg;42626;44090;46110;47750;49424;50564;52414;52801;53564;54070;55912
0184 Solna;72740;74041;76158;78129;79707;80950;82429;83162;84187;85450;85426
0186 Lidingö;45178;45465;46302;46853;47185;47818;48123;48005;48162;48432;48324
0187 Vaxholm;11188;11329;11380;11621;11831;12023;12003;11886;11996;11899;11817
0188 Norrtälje;56845;57568;58669;59420;60808;61769;62622;63673;64762;65587;65770
0191 Sigtuna;43372;44085;44786;46274;47146;48130;48964;49537;50273;51876;52529
0192 Nynäshamn;26796;27041;27500;27752;28109;28290;28575;28811;29495;30043;30311
0305 Håbo;19968;20034;20279;20737;21083;21564;21934;22019;22344;22765;22974
0319 Älvkarleby;9132;9169;9293;9445;9402;9392;9457;9511;9627;9625;9572
0330 Knivsta;15580;16105;16869;17323;18064;18720;18835;19106;19818;20133;20714
0331 Heby;13450;13490;13594;13755;13854;13910;14047;14101;14303;14421;14343
0360 Tierp;20144;20245;20547;20744;20930;21127;21136;21327;21485;21406;21193
0380 Uppsala;205199;207362;210126;214559;219914;225164;230767;233839;237596;242140;245329
0381 Enköping;40656;41163;41893;42988;43797;44429;45287;46240;47489;47848;48292
0382 Östhammar;21352;21374;21563;21822;21927;22048;22250;22251;22364;22344;22172
0428 Vingåker;8835;8919;8953;9099;9180;9136;9111;9144;9063;8981;8856
0461 Gnesta;10409;10513;10649;10861;11019;11237;11365;11421;11513;11612;11520
0480 Nyköping;53038;53508;54262;54924;55467;56011;56591;57071;57633;58021;58200
0481 Oxelösund;11403;11551;11701;11921;12008;12062;11983;11995;12132;12086;12106
0482 Flen;16156;16242;16440;16830;16864;16705;16585;16431;16316;16058;15668
0483 Katrineholm;32930;33268;33462;33722;34133;34550;34755;34765;34764;34604;34324
0484 Eskilstuna;99729;100923;102065;103684;104709;105924;106859;106975;107593;107918;107468
0486 Strängnäs;33389;33878;34102;34609;35045;35761;36544;37290;38129;38526;38917
