Region;2013;2014;2015;2016;2017;2018;2019;2020;2021;2022;2023
0114 Upplands Väsby;550;485;518;512;559;522;514;555;565;493;510
0115 Vallentuna;381;359;360;357;348;335;314;326;311;309;304
0117 Österåker;371;415;398;435;438;421;413;465;464;440;445
0120 Värmdö;430;426;439;463;431;425;404;456;447;431;396
0123 Järfälla;836;835;914;913;885;938;1018;919;994;1003;885
0125 Ekerö;291;266;274;247;261;265;270;239;261;236;187
0126 Huddinge;1368;1314;1299;1316;1234;1313;1262;1240;1212;1143;1068
0127 Botkyrka;1245;1231;1200;1131;1203;1140;1110;1133;1079;1032;900
0128 Salem;182;164;168;175;166;206;170;166;167;161;180
0136 Haninge;1009;1021;1013;1076;1065;1188;1179;1178;1146;1120;1059
0138 Tyresö;460;486;449;497;470;466;442;460;478;406;416
0139 Upplands-Bro;301;306;347;335;306;406;353;367;391;333;377
0140 Nykvarn;100;88;103;119;111;121;104;99;136;112;104
0160 Täby;647;598;648;616;609;597;615;640;625;586;586
0162 Danderyd;252;281;250;225;227;233;232;208;249;221;225
0163 Sollentuna;786;765;759;728;685;722;738;702;789;725;689
0180 Stockholm;14191;14145;13900;13821;13366;13011;12946;12950;13165;11649;11553
0181 Södertälje;1164;1142;1191;1145;1159;1138;1103;1206;1227;1072;1100
0182 Nacka;1197;1218;1175;1154;1185;1164;1208;1152;1230;1108;1079
0183 Sundbyberg;736;737;774;774;825;808;815;847;931;759;793
0184 Solna;1204;1231;1242;1359;1263;1263;1255;1259;1207;1142;1160
0186 Lidingö;446;426;449;440;456;396;416;414;423;389;385
0187 Vaxholm;97;105;98;106;86;98;76;83;81;82;64
0188 Norrtälje;498;555;519;527;562;561;565;552;565;566;491
0191 Sigtuna;586;612;607;678;609;674;607;562;629;569;546
0192 Nynäshamn;285;285;287;308;296;295;280;288;295;269;279
0305 Håbo;192;207;195;249;196;217;218;197;194;209;203
0319 Älvkarleby;76;85;84;90;112;88;84;107;88;71;87
0330 Knivsta;176;200;211;250;253;244;220;214;224;237;187
0331 Heby;139;132;144;127;134;132;144;115;153;105;126
0360 Tierp;198;211;275;255;229;230;241;233;203;222;159
0380 Uppsala;2516;2518;2620;2562;2508;2608;2597;2568;2707;2485;2454
0381 Enköping;434;450;411;521;504;501;555;521;498;466;439
0382 Östhammar;200;194;227;220;213;211;219;187;194;196;161
0428 Vingåker;76;94;96;84;87;114;69;92;90;75;66
0461 Gnesta;97;114;112;117;108;120;118;101;110;103;65
0480 Nyköping;577;561;601;622;591;595;580;538;600;562;492
0481 Oxelösund;101;118;118;131;159;135;128;125;116;117;93
0482 Flen;147;166;140;180;200;154;158;172;163;129;107
0483 Katrineholm;403;389;404;400;421;403;434;351;334;330;288
0484 Eskilstuna;1210;1257;1250;1306;1239;1260;1207;1167;1139;1109;974
0486 Strängnäs;310;339;323;328;361;325;330;329;355;335;324
0488 Trosa;103;113;117;98;125;121;110;138;138;116;117
0509 Ödeshög;45;49;38;67;54;52;61;63;41;47;39
0512 Ydre;37;41;36;40;40;27;42;35;37;28;24
0513 Kinda;81;97;83;134;83;97;101;90;88;107;87
0560 Boxholm;60;75;58;70;49;56;49;42;59;57;45
0561 Åtvidaberg;99;98;119;130;109;120;89;88;123;103;106
0562 Finspång;210;228;226;217;210;227;212;215;195;189;167
0563 Valdemarsvik;47;61;65;72;76;72;68;65;60;51;60
0580 Linköping;1848;1862;1859;1832;1771;1787;1858;1787;1841;1611;1556
0581 Norrköping;1729;1636;1688;1721;1637;1606;1618;1571;1665;1505;1399
0582 Söderköping;153;152;134;144;145;151;143;108;148;112;103
0583 Motala;408;435;468;466;484;452;438;430;420;360;381
0584 Vadstena;55;66;48;48;54;62;54;66;46;47;55
0586 Mjölby;278;283;307;286;297;280;302;295;312;318;272
0604 Aneby;69;54;81;85;98;59;99;69;75;65;63
0617 Gnosjö;92;102;112;104;113;122;102;90;104;72;81
0642 Mullsjö;73;76;82;98;54;77;76;79;74;71;93
0643 Habo;149;149;154;166;159;146;161;171;153;127;140
0662 Gislaved;310;309;334;323;314;287;342;301;295;257;227
0665 Vaggeryd;153;149;151;167;157;183;156;180;187;173;144
0680 Jönköping;1625;1677;1662;1715;1615;1688;1644;1665;1651;1526;1543
0682 Nässjö;350;359;376;360;415;406;372;386;336;352;295
0683 Värnamo;360;376;358;342;348;393;349;337;343;344;324
0684 Sävsjö;119;130;123;147;133;148;137;146;134;137;128
0685 Vetlanda;274;283;291;315;284;305;277;323;294;225;247
0686 Eksjö;178;181;185;172;198;191;174;196;192;167;151
0687 Tranås;155;202;174;198;199;196;201;219;201;206;145
0760 Uppvidinge;93;96;86;114;99;118;108;85;96;105;85
0761 Lessebo;81;74;93;129;106;103;99;91;89;75;72
0763 Tingsryd;99;120;108;127;116;125;115;113;113;98;99
0764 Alvesta;229;240;231;267;262;225;230;240;215;217;161
0765 Älmhult;186;193;177;180;197;176;214;207;203;166;185
0767 Markaryd;83;93;93;114;109;104;118;118;107;81;86
0780 Växjö;1112;1085;1074;1114;1049;1110;1132;1207;1177;1048;1020
0781 Ljungby;258;259;271;286;320;287;292;288;269;251;255
0821 Högsby;51;49;40;68;56;58;52;50;44;56;32
0834 Torsås;53;65;64;62;73;58;61;70;66;60;64
0840 Mörbylånga;151;141;140;131;169;156;138;140;155;121;124
0860 Hultsfred;119;121;158;158;165;163;141;166;115;115;106
0861 Mönsterås;123;131;140;124;146;141;119;144;146;115;107
0862 Emmaboda;108;73;101;78;75;86;81;77;64;75;73
0880 Kalmar;734;752;806;781;758;742;811;787;860;750;700
0881 Nybro;170;195;194;220;259;225;181;224;190;207;177
0882 Oskarshamn;276;269;270;287;272;286;294;269;263;211;244
0883 Västervik;334;334;326;332;322;388;312;323;331;262;289
0884 Vimmerby;140;171;159;180;149;161;150;175;153;153;141
0885 Borgholm;70;71;66;67;97;79;67;76;73;51;51
0980 Gotland;525;529;491;509;535;507;516;467;522;465;454
1060 Olofström;90;96;121;121;125;134;117;120;120;101;87
1080 Karlskrona;685;749;665;734;662;703;643;643;635;594;582
1081 Ronneby;270;305;304;296;338;338;333;295;314;275;240
1082 Karlshamn;311;318;315;309;323;299;310;294;291;289;254
1083 Sölvesborg;169;146;177;165;145;153;142;139;147;133;138
1214 Svalöv;133;171;153;167;141;167;163;163;175;170;136
1230 Staffanstorp;235;274;229;266;251;266;293;282;277;240;256
1231 Burlöv;192;238;221;227;213;211;243;244;244;217;201
1233 Vellinge;310;302;290;327;280;314;323;288;319;337;269
1256 Östra Göinge;130;144;153;145;163;200;192;161;168;113;123
1257 Örkelljunga;90;86;98;97;100;90;104;103;106;91;99
1260 Bjuv;181;156;154;180;161;191;183;163;165;164;144
1261 Kävlinge;358;356;285;334;324;329;321;331;314;312;269
1262 Lomma;254;254;238;228;192;205;201;192;168;182;159
1263 Svedala;240;223;248;207;193;227;241;240;257;282;218
1264 Skurup;158;173;143;164;169;158;150;193;160;169;172
1265 Sjöbo;197;184;200;211;191;206;206;188;190;186;167
1266 Hörby;179;158;169;183;189;169;178;158;175;142;134
1267 Höör;178;146;174;182;181;174;150;176;186;162;163
1270 Tomelilla;157;134;142;125;146;137;124;146;137;112;112
1272 Bromölla;127;120;133;144;129;108;113;117;117;123;96
