Region;2013;2014;2015;2016;2017;2018;2019;2020;2021;2022;2023
0114 Upplands Väsby;270;203;266;447;444;385;376;181;268;340;119
0115 Vallentuna;44;83;134;82;175;92;160;87;136;105;30
0117 Österåker;91;213;216;247;221;325;217;83;205;209;97
0120 Värmdö;99;206;104;158;193;223;196;136;174;176;51
0123 Järfälla;644;605;615;655;728;834;559;283;409;481;125
0125 Ekerö;51;101;121;91;119;229;231;150;72;105;-158
0126 Huddinge;919;851;1041;1189;1370;1637;1362;552;719;927;255
0127 Botkyrka;1282;1181;1110;1391;1385;1463;1459;800;831;722;413
0128 Salem;50;81;114;58;94;110;38;29;87;60;23
0136 Haninge;664;690;650;792;944;752;699;391;428;658;279
0138 Tyresö;156;219;185;230;253;254;197;21;133;129;38
0139 Upplands-Bro;134;172;154;174;289;276;265;79;148;201;114
0140 Nykvarn;19;18;60;34;48;31;33;34;31;16;41
0160 Täby;59;208;255;457;355;365;311;183;161;269;159
0162 Danderyd;231;96;171;123;144;168;280;61;176;124;-11
0163 Sollentuna;396;531;325;583;612;651;769;167;333;656;329
0180 Stockholm;6891;7220;6930;8934;9699;10384;8840;3877;6433;7165;2641
0181 Södertälje;1811;1579;1465;1500;1184;1268;1043;485;794;1080;738
0182 Nacka;503;445;388;551;579;804;572;194;339;436;85
0183 Sundbyberg;537;507;499;599;659;532;557;149;246;464;227
0184 Solna;450;338;608;748;1011;1021;1124;468;1520;1589;534
0186 Lidingö;279;212;324;343;323;419;283;97;143;291;40
0187 Vaxholm;54;58;-2;6;70;53;37;-5;58;33;14
0188 Norrtälje;115;407;479;413;446;332;237;139;129;176;3
0191 Sigtuna;495;462;564;645;625;688;563;397;419;637;321
0192 Nynäshamn;121;90;142;165;197;156;151;80;87;179;109
0305 Håbo;80;47;62;55;62;95;49;27;71;69;18
0319 Älvkarleby;41;47;86;159;100;92;30;21;15;-12;6
0330 Knivsta;86;50;109;51;55;117;68;14;21;40;55
0331 Heby;51;57;61;93;58;64;37;15;34;51;-10
0360 Tierp;43;88;92;208;159;130;71;-5;66;35;14
0380 Uppsala;1190;809;1429;2249;2585;2320;2062;1043;1418;1815;516
0381 Enköping;149;159;139;320;302;278;208;90;145;83;0
0382 Östhammar;51;40;101;98;64;90;62;63;55;62;21
0428 Vingåker;215;226;177;259;230;95;74;42;18;23;48
0461 Gnesta;27;16;33;197;45;64;57;34;37;34;12
0480 Nyköping;400;329;379;457;318;328;116;60;66;74;-93
0481 Oxelösund;60;129;179;250;125;108;58;26;7;16;-2
0482 Flen;414;438;459;783;685;360;197;149;96;51;19
0483 Katrineholm;298;275;200;351;236;213;149;31;-29;-18;-112
0484 Eskilstuna;839;1026;795;1543;956;895;433;119;97;259;-113
0486 Strängnäs;128;111;257;383;256;211;185;118;100;122;0
0488 Trosa;53;43;20;68;65;70;72;51;78;54;4
0509 Ödeshög;22;40;34;95;87;46;35;11;11;38;17
0512 Ydre;20;25;8;14;17;26;10;6;-7;10;2
0513 Kinda;110;47;30;51;44;59;30;26;11;45;-1
0560 Boxholm;27;42;26;52;31;36;3;6;9;9;17
