Region;2013;2014;2015;2016;2017;2018;2019;2020;2021;2022;2023
0114 Upplands Väsby;9111;9213;9302;9454;9620;9728;9881;9931;10090;10357;10628
0115 Vallentuna;6226;6375;6479;6604;6740;6836;6972;7064;7208;7405;7571
0117 Österåker;9368;9593;9731;9963;10146;10361;10619;10850;11141;11388;11715
0120 Värmdö;8368;8594;8773;9147;9434;9738;10001;10349;10716;11050;11445
0123 Järfälla;15696;15846;16118;16424;16626;16882;16998;17095;17332;17649;17947
0125 Ekerö;5630;5714;5810;5941;6034;6254;6390;6479;6605;6786;6939
0126 Huddinge;18021;18369;18677;19083;19473;19882;20270;20574;21036;21524;22081
0127 Botkyrka;15982;16281;16555;16800;16986;17228;17603;17814;18078;18440;18879
0128 Salem;3463;3476;3514;3576;3579;3575;3623;3658;3685;3726;3772
0136 Haninge;16481;16637;16844;17155;17386;17651;17911;18184;18461;18861;19358
0138 Tyresö;9317;9472;9530;9718;9884;10056;10318;10466;10687;10938;11230
0139 Upplands-Bro;5280;5364;5416;5554;5704;5826;5939;6034;6152;6230;6362
0140 Nykvarn;2039;2127;2157;2229;2309;2347;2409;2416;2480;2511;2631
0160 Täby;15916;16116;16302;16552;16686;16881;17060;17289;17554;17912;18430
0162 Danderyd;7906;7939;7981;8005;8106;8136;8169;8176;8250;8326;8483
0163 Sollentuna;13769;14036;14282;14433;14653;14887;15152;15276;15588;15876;16262
0180 Stockholm;173841;176969;180437;184082;188095;191700;195612;197966;201727;206266;211377
0181 Södertälje;19089;19322;19646;19955;20286;20558;20862;21146;21456;21905;22291
0182 Nacka;19320;19706;20088;20471;20931;21429;21928;22407;23053;23700;24476
0183 Sundbyberg;7615;7885;8083;8385;8671;8846;9052;9117;9311;9530;9823
0184 Solna;15352;15457;15581;15762;16003;16142;16441;16484;16600;16754;17016
0186 Lidingö;11574;11669;11770;11824;11965;12131;12273;12341;12547;12738;12928
0187 Vaxholm;2701;2767;2795;2894;2988;3121;3201;3267;3405;3511;3615
0188 Norrtälje;18392;18774;19258;19573;20068;20466;20968;21420;22036;22556;22970
0191 Sigtuna;8583;8676;8734;8914;9003;9131;9318;9426;9613;9920;10220
0192 Nynäshamn;7283;7455;7623;7746;7816;7869;7946;7974;8175;8391;8551
0305 Håbo;4550;4589;4625;4724;4745;4826;4877;4929;5046;5179;5303
0319 Älvkarleby;2734;2777;2811;2857;2871;2891;2932;2921;2960;2994;3055
0330 Knivsta;2894;2965;3055;3113;3196;3304;3338;3421;3525;3602;3754
0331 Heby;4087;4115;4176;4237;4291;4343;4403;4433;4489;4567;4644
0360 Tierp;6056;6047;6151;6174;6237;6309;6387;6408;6462;6499;6611
0380 Uppsala;43882;44809;45698;46916;47914;48898;49758;50381;51159;51999;53093
0381 Enköping;10873;11085;11220;11428;11619;11821;12042;12207;12399;12562;12800
0382 Östhammar;6779;6906;7062;7169;7322;7444;7605;7667;7793;7844;7860
0428 Vingåker;2872;2919;2929;2965;2974;2973;2997;2999;3000;3040;3050
0461 Gnesta;2999;3037;3120;3157;3209;3270;3333;3371;3414;3477;3504
0480 Nyköping;15665;15865;16081;16216;16382;16531;16772;16929;17091;17302;17409
0481 Oxelösund;3964;3983;4032;4073;4103;4091;4079;4076;4129;4127;4144
0482 Flen;5441;5487;5560;5657;5691;5703;5698;5705;5752;5750;5754
0483 Katrineholm;9490;9582;9654;9754;9844;9955;10026;10090;10162;10246;10342
0484 Eskilstuna;25234;25406;25742;26066;26264;26510;26836;27003;27304;27638;27890
0486 Strängnäs;9237;9483;9641;9793;9969;10189;10354;10566;10799;10968;11230
0488 Trosa;3438;3527;3660;3766;3895;4046;4200;4349;4429;4506;4614
0509 Ödeshög;1759;1798;1801;1789;1792;1804;1809;1816;1816;1841;1844
0512 Ydre;1272;1303;1306;1333;1342;1368;1404;1430;1449;1450;1451
0513 Kinda;3123;3175;3223;3257;3287;3308;3356;3352;3365;3401;3397
0560 Boxholm;1666;1673;1712;1750;1791;1788;1812;1836;1843;1843;1862
0561 Åtvidaberg;3619;3641;3654;3672;3713;3742;3751;3759;3753;3761;3805
0562 Finspång;6464;6555;6583;6603;6668;6702;6731;6733;6796;6799;6822
0563 Valdemarsvik;2897;2949;2964;2968;3002;3029;3005;3010;3011;3020;3016
0580 Linköping;33536;33830;34272;34863;35250;35740;36229;36574;36972;37536;38203
0581 Norrköping;32743;33092;33509;33929;34286;34640;35093;35366;35615;35927;36473
0582 Söderköping;4293;4360;4413;4473;4503;4539;4566;4597;4646;4715;4732
0583 Motala;12061;12176;12308;12441;12637;12737;12857;12960;13087;13224;13393
0584 Vadstena;2760;2802;2824;2793;2806;2850;2880;2927;3005;3016;3054
0586 Mjölby;7240;7281;7306;7287;7339;7416;7497;7562;7628;7721;7810
0604 Aneby;1834;1878;1926;1942;1952;2018;2009;2021;2049;2086;2115
0617 Gnosjö;2362;2424;2476;2528;2545;2562;2565;2562;2584;2613;2604
0642 Mullsjö;2042;2064;2075;2106;2128;2166;2193;2225;2207;2228;2231
0643 Habo;2477;2532;2574;2640;2686;2737;2793;2849;2871;2996;3069
0662 Gislaved;7378;7484;7562;7629;7700;7817;7873;7899;7972;8107;8232
0665 Vaggeryd;3391;3417;3450;3489;3547;3614;3662;3745;3750;3765;3815
0680 Jönköping;31711;32068;32362;32745;33046;33243;33644;33916;34235;34656;35163
0682 Nässjö;8242;8290;8336;8369;8426;8441;8550;8612;8689;8749;8797
0683 Värnamo;8842;8898;9024;9183;9320;9416;9522;9615;9723;9813;9992
0684 Sävsjö;3258;3271;3305;3343;3342;3362;3365;3380;3408;3464;3479
0685 Vetlanda;7830;7899;7971;8035;8092;8193;8263;8255;8321;8388;8424
0686 Eksjö;5185;5226;5305;5371;5385;5455;5534;5547;5601;5597;5637
0687 Tranås;5465;5524;5590;5640;5647;5664;5660;5664;5709;5704;5744
0760 Uppvidinge;2871;2876;2904;2902;2899;2842;2841;2825;2857;2860;2898
0761 Lessebo;2485;2465;2440;2479;2505;2494;2524;2538;2539;2592;2599
0763 Tingsryd;4243;4271;4260;4291;4317;4334;4350;4319;4314;4312;4331
0764 Alvesta;5430;5504;5550;5613;5660;5668;5699;5695;5751;5767;5819
0765 Älmhult;4323;4356;4377;4429;4384;4411;4446;4457;4493;4539;4602
0767 Markaryd;3118;3139;3184;3167;3167;3161;3157;3156;3157;3165;3148
0780 Växjö;20418;20792;21126;21459;21634;21919;22184;22354;22529;22858;23212
0781 Ljungby;7923;8016;8039;8152;8234;8377;8457;8461;8557;8637;8700
0821 Högsby;1946;1957;1960;1946;1963;1985;1959;1963;1970;1999;2052
0834 Torsås;2372;2399;2416;2470;2476;2470;2489;2519;2526;2530;2596
0840 Mörbylånga;4627;4734;4846;4946;4983;5026;5136;5253;5362;5508;5602
0860 Hultsfred;4567;4568;4608;4641;4664;4724;4789;4828;4838;4848;4887
0861 Mönsterås;4145;4185;4210;4263;4286;4340;4358;4340;4387;4475;4496
0862 Emmaboda;3061;3068;3106;3128;3126;3161;3188;3196;3221;3252;3237
0880 Kalmar;16084;16403;16699;16957;17159;17387;17578;17788;18004;18170;18444
0881 Nybro;6100;6163;6174;6137;6222;6257;6320;6322;6348;6382;6397
0882 Oskarshamn;7907;7951;7971;8068;8073;8065;8191;8206;8232;8243;8324
0883 Västervik;12129;12264;12427;12623;12799;12895;13018;13112;13251;13359;13397
0884 Vimmerby;4717;4745;4752;4797;4814;4850;4924;4959;4992;5043;5071
0885 Borgholm;4287;4352;4451;4483;4537;4622;4737;4870;4951;4997;5039
0980 Gotland;17440;17795;18113;18464;18811;19131;19380;19771;20127;20385;20614
1060 Olofström;4247;4273;4290;4271;4287;4282;4317;4351;4360;4374;4428
1080 Karlskrona;17281;17440;17627;17826;17985;18163;18279;18350;18435;18544;18625
1081 Ronneby;8786;8882;8901;8924;8975;8958;8985;8930;8979;9007;9069
1082 Karlshamn;9632;9766;9814;9887;9879;9913;9929;9978;10006;10057;10200
1083 Sölvesborg;5305;5365;5451;5481;5527;5570;5651;5730;5784;5861;5937
1214 Svalöv;3330;3304;3315;3321;3352;3372;3348;3362;3412;3440;3502
1230 Staffanstorp;5361;5380;5406;5454;5528;5598;5649;5725;5861;5972;6128
1231 Burlöv;4023;4012;4035;4096;4169;4209;4285;4299;4326;4420;4471
1233 Vellinge;9442;9574;9709;9804;9956;10107;10245;10381;10569;10742;10885
1256 Östra Göinge;4044;4059;4044;4068;4101;4123;4133;4131;4192;4185;4190
1257 Örkelljunga;2936;2988;3027;3064;3102;3109;3122;3151;3159;3175;3181
1260 Bjuv;3580;3639;3689;3702;3724;3726;3781;3787;3847;3860;3901
1261 Kävlinge;6942;6996;7037;7089;7144;7226;7314;7364;7497;7614;7715
1262 Lomma;5728;5832;5949;6036;6128;6179;6212;6332;6353;6450;6564
1263 Svedala;4591;4654;4703;4743;4800;4908;4991;5033;5100;5106;5248
1264 Skurup;3932;4024;4040;4057;4098;4097;4175;4210;4322;4407;4479
1265 Sjöbo;5332;5412;5455;5562;5634;5677;5763;5798;5854;5922;5988
1266 Hörby;4212;4281;4328;4380;4398;4463;4488;4532;4620;4656;4692
1267 Höör;4137;4178;4243;4336;4421;4471;4541;4647;4679;4751;4794
1270 Tomelilla;3981;4026;4083;4154;4205;4267;4347;4396;4467;4547;4569
1272 Bromölla;3702;3732;3796;3796;3859;3867;3846;3857;3835;3871;3900
1273 Osby;3938;3987;4042;4053;4077;4062;4062;4110;4179;4192;4176
1275 Perstorp;1965;1955;1984;2022;2015;2036;2049;2064;2069;2056;2078
1276 Klippan;4776;4839;4864;4899;4948;5001;5031;5006;5029;5059;5154
1277 Åstorp;3554;3560;3596;3642;3684;3661;3684;3612;3620;3635;3660
1278 Båstad;5306;5350;5375;5421;5525;5618;5701;5830;5943;6034;6133
1280 Malmö;63631;64405;65156;66033;66764;67539;68274;68894;69537;70812;72241
1281 Lund;23908;24422;24933;25457;25896;26399;26791;27168;27549;27885;28331
1282 Landskrona;11141;11260;11409;11498;11631;11756;11949;12083;12155;12345;12578
1283 Helsingborg;32636;33119;33642;34100;34534;34865;35373;35853;36282;36845;37492
1284 Höganäs;7936;8079;8227;8364;8478;8692;8836;8981;9086;9227;9418
1285 Eslöv;7643;7734;7821;7917;8001;8010;8099;8179;8265;8363;8511
1286 Ystad;9389;9564;9663;9825;10108;10330;10491;10730;10945;10971;11118
1287 Trelleborg;11571;11678;11844;11973;12100;12222;12370;12500;12658;12877;13070
1290 Kristianstad;21846;22080;22403;22634;22941;23146;23501;23716;23982;24192;24438
1291 Simrishamn;7490;7595;7708;7824;7874;7909;8010;8104;8224;8267;8375
1292 Ängelholm;11653;11844;12010;12150;12299;12458;12719;12798;13076;13239;13503
1293 Hässleholm;14502;14624;14778;14928;15026;15100;15255;15257;15335;15387;15474
1315 Hylte;2859;2889;2923;2950;3005;3032;3039;3061;3096;3097;3083
1380 Halmstad;24584;24874;25292;25590;25879;26322;26750;27035;27361;27570;28045
1381 Laholm;7359;7452;7631;7706;7837;8019;8164;8285;8458;8583;8709
1382 Falkenberg;12431;12642;12826;13088;13321;13468;13741;13983;14255;14460;14608
1383 Varberg;17055;17349;17699;18140;18518;18891;19300;19640;20125;20602;21043
1384 Kungsbacka;18890;19124;19501;19875;20282;20626;21115;21469;21828;22225;22737
1401 Härryda;7280;7442;7584;7674;7795;7916;8051;8179;8296;8596;8919
1402 Partille;7911;8005;8061;8201;8359;8496;8660;8720;8811;8877;9085
1407 Öckerö;3658;3758;3827;3871;3985;4030;4108;4177;4313;4376;4463
1415 Stenungsund;6016;6152;6269;6376;6504;6602;6722;6883;7015;7119;7294
1419 Tjörn;4917;5000;5136;5284;5384;5433;5538;5664;5745;5849;5913
1421 Orust;5232;5323;5395;5439;5540;5609;5698;5785;5894;5976;6010
1427 Sotenäs;3457;3529;3619;3647;3679;3667;3692;3760;3849;3895;3909
1430 Munkedal;3146;3179;3203;3196;3206;3225;3261;3283;3326;3363;3383
1435 Tanum;4203;4276;4362;4425;4481;4568;4607;4665;4749;4791;4852
1438 Dals-Ed;1540;1558;1558;1555;1587;1595;1603;1606;1608;1623;1627
1439 Färgelanda;2084;2102;2118;2133;2145;2133;2147;2139;2143;2174;2168
1440 Ale;6590;6650;6699;6743;6769;6876;6942;6975;7057;7162;7281
1441 Lerum;8967;9083;9183;9296;9406;9529;9602;9626;9736;9875;10074
1442 Vårgårda;2865;2892;2967;3010;3071;3129;3164;3212;3240;3259;3318
1443 Bollebygd;2242;2299;2359;2414;2451;2479;2503;2517;2544;2589;2664
1444 Grästorp;1692;1726;1745;1758;1797;1823;1837;1860;1874;1896;1906
1445 Essunga;1750;1754;1784;1787;1802;1808;1823;1851;1880;1884;1900
1446 Karlsborg;2425;2455;2473;2478;2511;2511;2536;2535;2524;2561;2572
1447 Gullspång;1929;1955;1968;1987;2035;2059;2082;2079;2099;2101;2133
1452 Tranemo;3511;3518;3534;3599;3593;3601;3629;3634;3674;3729;3818
1460 Bengtsfors;3448;3465;3461;3501;3497;3493;3506;3472;3520;3477;3498
1461 Mellerud;3149;3160;3183;3148;3186;3178;3194;3202;3222;3234;3269
1462 Lilla Edet;3408;3464;3493;3578;3626;3631;3661;3717;3744;3796;3853
1463 Mark;9559;9654;9748;9876;9936;10003;10073;10144;10243;10315;10452
1465 Svenljunga;3221;3275;3306;3334;3371;3398;3479;3478;3478;3465;3496
1466 Herrljunga;2729;2753;2785;2834;2868;2893;2900;2923;2964;2981;2977
1470 Vara;4664;4699;4755;4788;4854;4861;4902;4924;4937;4959;4992
1471 Götene;3872;3929;3984;4080;4139;4194;4254;4297;4371;4413;4449
1472 Tibro;3236;3280;3324;3361;3370;3401;3447;3446;3429;3494;3511
1473 Töreboda;2858;2883;2908;2947;3001;3005;3033;3056;3092;3148;3184
1480 Göteborg;108277;109832;111507;113455;115031;116631;118444;119699;121281;123070;125513
1481 Mölndal;13167;13246;13430;13553;13762;14059;14256;14385;14539;14755;15042
1482 Kungälv;10753;10876;11069;11212;11404;11649;11874;12102;12436;12711;13076
1484 Lysekil;5040;5119;5185;5204;5295;5361;5426;5448;5474;5474;5528
1485 Uddevalla;14238;14387;14530;14769;14898;15122;15256;15441;15633;15844;15970
1486 Strömstad;3548;3607;3634;3693;3735;3748;3781;3812;3882;3883;3910
1487 Vänersborg;10543;10669;10827;10884;11013;11111;11286;11421;11488;11618;11819
1488 Trollhättan;13593;13792;13896;14014;14125;14236;14293;14370;14537;14634;14836
1489 Alingsås;10632;10797;10993;11193;11323;11468;11643;11650;11783;11942;12040
1490 Borås;26158;26415;26669;26996;27231;27411;27646;27772;27942;28140;28553
1491 Ulricehamn;6766;6828;7000;7116;7212;7304;7387;7417;7449;7560;7639
1492 Åmål;4031;4058;4073;4071;4070;4127;4169;4148;4187;4203;4196
1493 Mariestad;7545;7651;7670;7747;7792;7839;7922;7986;8082;8130;8241
1494 Lidköping;10786;10943;11081;11176;11321;11540;11680;11817;12021;12154;12328
1495 Skara;5096;5125;5150;5214;5271;5283;5300;5313;5354;5402;5462
1496 Skövde;12932;13081;13289;13510;13708;13884;14037;14095;14241;14346;14558
1497 Hjo;2833;2883;2900;2946;2987;3056;3078;3069;3059;3062;3086
1498 Tidaholm;3637;3636;3687;3765;3786;3801;3844;3863;3932;3974;4015
1499 Falköping;8916;8966;9007;9101;9167;9204;9201;9318;9398;9440;9515
1715 Kil;3412;3470;3530;3578;3598;3621;3683;3692;3728;3734;3738
1730 Eda;2687;2667;2656;2646;2657;2659;2697;2728;2723;2750;2781
