,0,1,2,3,4,5,6,7
0,8,0114 Upplands Väsby,41449,43891,46786,1.0589157760138965,1.0659588526121528,0114
1,0,0115 Vallentuna,31616,32785,34090,1.0369749493927125,1.0398047887753545,0115
2,8,0117 Österåker,40495,43293,45574,1.0690949499938265,1.0526875014436514,0117
3,8,0120 Värmdö,39784,42000,45000,1.0557007842348682,1.0714285714285714,0120
4,3,0123 Järfälla,69167,74412,79990,1.0758309598507958,1.0749610277912165,0123
5,0,0125 Ekerö,26355,27406,28690,1.0398785809144375,1.0468510545136103,0125
6,7,0126 Huddinge,102557,107538,112848,1.048568113341849,1.0493778943257268,0126
7,7,0127 Botkyrka,87580,90675,94606,1.03533911852021,1.0433526330300524,0127
8,5,0128 Salem,16001,16615,16750,1.0383726017123929,1.0081251880830575,0128
9,8,0136 Haninge,80932,85693,92095,1.0588271635447042,1.0747085526239015,0136
10,0,0138 Tyresö,44281,47103,48333,1.063729364738827,1.026112986433985,0138
11,3,0139 Upplands-Bro,24703,26755,29346,1.0830668339877747,1.0968417118295646,0139
12,3,0140 Nykvarn,9523,10424,11014,1.0946130421085791,1.0566001534919416,0140
13,0,0160 Täby,66292,69386,71874,1.0466722983165389,1.0358573775689621,0160
14,4,0162 Danderyd,32222,32653,32857,1.0133759543169263,1.0062475117140846,0162
15,0,0163 Sollentuna,68145,71023,73857,1.0422334727419473,1.0399025667741435,0163
16,2,0180 Stockholm,897700,935619,974073,1.0422401693215997,1.0411000631667378,0180
17,7,0181 Södertälje,91072,94631,98979,1.039078970484891,1.045946888440363,0181
18,7,0182 Nacka,94423,99359,105189,1.0522753990023617,1.0586761138900351,0182
19,3,0183 Sundbyberg,42626,47750,52414,1.1202083235583915,1.097675392670157,0183
20,8,0184 Solna,72740,78129,82429,1.074085784987627,1.0550371820962767,0184
21,0,0186 Lidingö,45178,46853,48123,1.0370755677542167,1.027106055108531,0186
22,0,0187 Vaxholm,11188,11621,12003,1.0387021809081158,1.0328715256862577,0187
23,8,0188 Norrtälje,56845,59420,62622,1.0452986190518077,1.0538875799394143,0188
24,8,0191 Sigtuna,43372,46274,48964,1.0669095268837037,1.0581319963694515,0191
