Region,År,Folkmängd,AntalPersonPerHushåll,Döda,Flyttningsöverskott,Födda,Invandringsöverskott,Invånare60plus,InvånarePerKvKilometer,Medelålder,Folkmängd_3ÅrTidigare,Folkmängd_6ÅrTidigare,Folkmängd_3ÅrSenare
,,,,,,,,,,,,,
0114 Upplands Väsby,2019,46786,2.4,296,1004,514,376,9881,623.8,39.3,43891,41449,49262
0115 Vallentuna,2019,34090,2.6,191,531,314,160,6972,95.3,39.0,32785,31616,34851
0117 Österåker,2019,45574,2.5,284,602,413,217,10619,145.9,40.6,43293,40495,49138
0120 Värmdö,2019,45000,2.5,239,420,404,196,10001,101.4,39.9,42000,39784,46457
0123 Järfälla,2019,79990,2.4,564,1017,1018,559,16998,1487.1,39.1,74412,69167,85460
0125 Ekerö,2019,28690,2.6,162,258,270,231,6390,132.0,39.8,27406,26355,29123
0126 Huddinge,2019,112848,2.5,624,395,1262,1362,20270,862.4,37.6,107538,102557,114504
0127 Botkyrka,2019,94606,2.6,517,773,1110,1459,17603,487.6,37.7,90675,87580,95383
0128 Salem,2019,16750,2.6,110,-104,170,38,3623,309.6,39.2,16615,16001,17352
0136 Haninge,2019,92095,2.5,576,1428,1179,699,17911,202.2,38.2,85693,80932,97683
0138 Tyresö,2019,48333,2.5,302,172,442,197,10318,700.1,39.8,47103,44281,49214
0139 Upplands-Bro,2019,29346,2.5,163,387,353,265,5939,124.7,38.2,26755,24703,31853
0140 Nykvarn,2019,11014,2.5,60,43,104,33,2409,72.1,39.5,10424,9523,11664
0160 Täby,2019,71874,2.5,486,342,615,311,17060,1184.3,40.9,69386,66292,75137
0162 Danderyd,2019,32857,2.6,264,-305,232,280,8169,1246.0,41.3,32653,32222,32692
0163 Sollentuna,2019,73857,2.5,440,1002,738,769,15152,1403.9,39.1,71023,68145,76237
0180 Stockholm,2019,974073,2.1,6269,4870,12946,8840,195612,5203.4,39.2,935619,897700,984748
0181 Södertälje,2019,98979,2.4,652,1093,1103,1043,20862,188.9,39.4,94631,91072,102426
0182 Nacka,2019,105189,2.5,626,926,1208,572,21928,1108.1,39.1,99359,94423,109486
0183 Sundbyberg,2019,52414,2.1,296,1318,815,557,9052,6031.5,37.5,47750,42626,54070
0184 Solna,2019,82429,2.0,539,728,1255,1124,16441,4275.4,39.2,78129,72740,85450
0186 Lidingö,2019,48123,2.4,395,283,416,283,12273,1568.0,41.4,46853,45178,48432
0187 Vaxholm,2019,12003,2.4,73,-26,76,37,3201,208.3,42.1,11621,11188,11899
0188 Norrtälje,2019,62622,2.1,682,963,565,237,20968,31.1,45.4,59420,56845,65587
0191 Sigtuna,2019,48964,2.5,279,491,607,563,9318,149.4,38.1,46274,43372,51876
0192 Nynäshamn,2019,28575,2.2,279,272,280,151,7946,80.0,42.7,27752,26796,30043
0305 Håbo,2019,21934,2.5,153,302,218,49,4877,152.8,39.9,20737,19968,22765
0319 Älvkarleby,2019,9457,2.2,99,76,84,30,2932,42.7,43.9,9445,9132,9625
0330 Knivsta,2019,18835,2.6,80,-29,220,68,3338,66.8,36.7,17323,15580,20133
0331 Heby,2019,14047,2.2,171,164,144,37,4403,12.0,43.9,13755,13450,14421
0360 Tierp,2019,21136,2.2,207,-29,241,71,6387,13.7,43.5,20744,20144,21406
0380 Uppsala,2019,230767,2.2,1455,4401,2597,2062,49758,105.7,38.9,214559,205199,242140
0381 Enköping,2019,45287,2.3,399,678,555,208,12042,38.4,41.6,42988,40656,47848
0382 Östhammar,2019,22250,2.1,205,179,219,62,7605,15.1,45.3,21822,21352,22344
0428 Vingåker,2019,9111,2.2,115,18,69,74,2997,24.6,44.4,9099,8835,8981
0461 Gnesta,2019,11365,2.2,115,121,118,57,3333,24.6,42.8,10861,10409,11612
0480 Nyköping,2019,56591,2.2,540,536,580,116,16772,39.9,43.1,54924,53038,58021
0481 Oxelösund,2019,11983,2.1,152,-65,128,58,4079,342.7,45.2,11921,11403,12086
0482 Flen,2019,16585,2.2,208,-81,158,197,5698,23.1,45.1,16830,16156,16058
0483 Katrineholm,2019,34755,2.2,346,112,434,149,10026,34.1,42.3,33722,32930,34604
0484 Eskilstuna,2019,106859,2.2,956,673,1207,433,26836,97.2,40.8,103684,99729,107918
0486 Strängnäs,2019,36544,2.2,347,792,330,185,10354,49.4,42.6,34609,33389,38526
0488 Trosa,2019,13747,2.3,111,430,110,72,4200,65.7,43.4,12447,11680,14760
0509 Ödeshög,2019,5337,2.1,72,22,61,35,1809,12.3,45.1,5335,5174,5317
0512 Ydre,2019,3747,2.2,49,11,42,10,1404,5.5,46.8,3675,3617,3683
0513 Kinda,2019,9940,2.2,102,24,101,30,3356,8.8,45.1,9874,9802,10068
0560 Boxholm,2019,5476,2.1,63,41,49,3,1812,10.4,45.1,5373,5278,5498
0561 Åtvidaberg,2019,11503,2.1,140,14,89,31,3751,16.8,45.0,11617,11460,11506
0562 Finspång,2019,21912,2.1,222,160,212,194,6731,20.8,43.9,21526,20903,21903
0563 Valdemarsvik,2019,7873,2.1,111,-41,68,81,3005,10.7,47.5,7809,7585,7630
0580 Linköping,2019,163051,2.1,1175,1322,1858,1166,36229,114.2,39.4,155817,150202,166673
0581 Norrköping,2019,143171,2.2,1200,1058,1618,663,35093,95.8,40.7,139363,133749,145120
0582 Söderköping,2019,14626,2.3,150,11,143,40,4566,21.7,43.9,14402,14195,14834
0583 Motala,2019,43673,2.1,440,-19,438,130,12857,44.4,43.3,43258,42187,43728
0584 Vadstena,2019,7428,2.0,110,-30,54,16,2880,38.8,48.4,7348,7383,7481
0586 Mjölby,2019,27758,2.2,296,379,302,92,7497,50.8,41.9,26708,26313,28471
0604 Aneby,2019,6848,2.3,73,-19,99,26,2009,13.2,42.5,6603,6375,6824
